movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0016,Family Mission,TV Series,Action,,2010,78,TV-MA,English,USA,5.1,,,,,False,6/7/2023,False
movie_0017,Fire Kingdom,Limited Series,Thriller,,2010,73,TV-Y7,English,USA,,,35361404.0,,,True,5/9/2023,True
movie_0018,Wild Warrior,Movie,Fantasy,Mystery,2011,7,TV-MA,English,India,5.1,6551955.0,,,,False,2/29/2024,False
movie_0019,Hidden Tale,Movie,War,Sci-Fi,2013,101,TV-Y7,English,France,,5179067.0,,,,False,9/29/2021,False
movie_0020,House Heart,TV Series,Sport,,1982,26,TV-MA,Spanish,USA,5.4,2214374.0,,12.0,,False,9/22/2024,False
movie_0021,Our Crown,Stand-up Comedy,Documentary,,2002,151,G,English,USA,7.4,,,11.0,,False,6/26/2023,False
movie_0022,Dark House,Movie,Romance,,1981,70,TV-Y7,Korean,UK,9.4,,,,,True,1/27/2025,True
movie_0023,Storm World,Stand-up Comedy,Animation,,2006,44,TV-Y7,Hindi,USA,3.1,2791795.0,,,,True,4/28/2022,False
movie_0024,Family Saga,Limited Series,War,History,2006,87,PG-13,Mandarin,USA,3.9,,21606037.0,,,True,4/18/2025,False
movie_0025,Silent Voyage,Movie,Crime,Adventure,2018,83,PG-13,Korean,USA,4.8,,20036577.0,,73.0,False,5/13/2022,False
movie_0026,Bright Mission,Limited Series,Romance,,2020,81,TV-G,Hindi,UK,7.7,,,,149.0,False,6/11/2023,False
movie_0027,Night War,Documentary,War,Romance,2008,138,R,English,France,5.9,,,,130.0,False,3/9/2023,False
movie_0028,Journey Legend,TV Series,Mystery,,2000,91,TV-G,English,USA,5.0,,26145080.0,,,False,8/29/2024,False
movie_0029,Lost Princess,TV Series,Animation,,2012,41,NC-17,English,USA,,7133606.0,,,,False,12/6/2021,False
movie_0030,Bright Shadow,Limited Series,Documentary,Animation,2000,60,TV-Y7,Mandarin,France,8.0,3761990.0,,,199.0,False,3/27/2022,True
movie_0031,Royal Crown,Documentary,Adventure,Romance,2006,189,PG,Hindi,France,6.2,,,3.0,,False,12/18/2021,False
movie_0032,Night World,Documentary,Biography,,2017,38,TV-Y,English,UK,4.8,,,,,True,2/25/2022,True
movie_0033,Family House,Stand-up Comedy,Family,Biography,2000,100,TV-G,English,USA,,,,14.0,,False,4/7/2023,False
movie_0034,Wild Night,TV Series,Fantasy,,2015,141,TV-14,English,UK,5.8,3056928.0,,12.0,85.0,False,12/6/2023,False
movie_0035,Storm War,Limited Series,Music,,2014,107,TV-Y,English,Spain,5.8,4620432.0,10524703.0,,42.0,False,4/26/2025,False
movie_0036,Eternal Mission,Limited Series,Sport,,1995,79,TV-MA,Spanish,France,5.3,,1711277.0,6.0,,False,2/9/2023,False
movie_0037,Journey Family,Movie,Horror,Horror,2017,88,TV-G,English,USA,7.9,6772090.0,5739134.0,3.0,,False,1/19/2023,False
movie_0038,Dark War,Movie,Music,Adventure,2014,112,TV-Y7,German,UK,6.7,,,14.0,151.0,False,10/21/2021,False
movie_0039,Big Mission,Movie,War,War,2007,37,NC-17,Japanese,USA,8.1,,,,58.0,True,6/30/2021,False
movie_0040,Lost Dream,Limited Series,Sci-Fi,,1997,73,NC-17,English,USA,8.7,3247669.0,,,,False,10/21/2024,False
movie_0041,Royal Adventure,Movie,Romance,,1996,290,NC-17,English,USA,,8991268.0,14675612.0,7.0,,True,2/29/2024,False
movie_0042,Our Tale,Documentary,Horror,,2000,102,TV-Y7,Mandarin,Germany,,,,,105.0,True,8/30/2023,False
movie_0043,Golden Shadow,Movie,Western,Sport,2012,81,TV-14,Korean,USA,,,,9.0,,True,3/22/2023,True
movie_0044,Fire Legend,Movie,Comedy,Music,1995,55,TV-PG,English,Germany,,3331305.0,,,52.0,False,8/8/2023,False
movie_0045,Bright Tale,TV Series,Crime,,2011,38,TV-PG,English,Japan,10.0,,,5.0,,False,3/24/2025,False
movie_0046,Family Voyage,Movie,Sport,,1992,90,TV-14,Hindi,Japan,,808343.0,,,,False,12/12/2021,False
movie_0047,Hidden Night,Limited Series,Comedy,Fantasy,2004,95,TV-MA,German,USA,,19859283.0,,,36.0,False,6/30/2023,False
movie_0048,Wild Legend,Movie,War,Mystery,2007,70,TV-MA,German,France,6.8,1312595.0,,,145.0,True,3/17/2022,False
movie_0049,City Shadow,Limited Series,Fantasy,,2024,367,TV-PG,Korean,USA,6.1,8830589.0,29253932.0,,,False,7/11/2021,False
movie_0050,Silent Princess,Movie,Crime,,1990,40,NC-17,Spanish,Japan,5.8,,,,,True,6/18/2024,True
movie_0051,Hidden Mission,Stand-up Comedy,Animation,,2023,32,NC-17,English,USA,6.8,,,,132.0,False,7/10/2024,False
movie_0052,Eternal Legend,TV Series,Romance,,2008,56,TV-PG,French,USA,7.2,3137378.0,,,,False,4/4/2025,False
movie_0053,Eternal Voyage,Movie,Thriller,Drama,2011,71,TV-G,English,Japan,8.4,,,,141.0,False,2/9/2021,False
movie_0054,Eternal Dream,Movie,Drama,,2007,36,TV-MA,Japanese,USA,6.8,,7045501.0,,,False,11/20/2021,False
movie_0055,Journey Shadow,Movie,Adventure,Horror,2011,89,TV-14,Mandarin,USA,5.4,,,12.0,,False,11/15/2023,False
movie_0056,House Voyage,TV Series,War,,2004,96,NC-17,Mandarin,India,5.7,,,8.0,,True,1/22/2025,False
movie_0057,Lost War,Limited Series,Drama,,2023,122,TV-14,Japanese,USA,,5563965.0,,1.0,,False,9/12/2025,False
movie_0058,Adventure Kingdom,Movie,Music,War,2001,49,TV-Y,Japanese,USA,9.3,,,,,True,12/9/2024,False
movie_0059,Dragon Princess,TV Series,Sport,,2019,179,TV-Y7,Spanish,USA,5.3,4381810.0,,,114.0,False,7/10/2025,False
movie_0060,City Family,TV Series,Horror,,1999,116,TV-Y,Mandarin,USA,8.0,,,13.0,,False,1/27/2025,False
movie_0061,Family Dream,TV Series,Music,Sci-Fi,2005,40,TV-14,German,UK,,6130088.0,,,47.0,False,7/31/2022,False
movie_0062,Silent War,Documentary,Thriller,,1994,36,TV-PG,English,USA,,,,,,False,11/28/2023,False
movie_0063,Hidden Kingdom,TV Series,Music,Thriller,2011,59,R,English,Japan,6.1,,,,,True,3/5/2024,False
movie_0064,Storm Crown,Documentary,Horror,History,2022,96,R,Spanish,France,4.8,,7363328.0,,144.0,False,10/5/2022,False
movie_0065,Lost Heart,Stand-up Comedy,Adventure,Thriller,2005,107,TV-Y7,German,USA,4.5,3866274.0,,,,False,6/5/2025,False
movie_0066,Lost Kingdom,Movie,Mystery,,2004,116,NC-17,French,Spain,9.4,,,5.0,,False,11/8/2024,True
movie_0067,Storm Kingdom,Movie,Music,,1993,278,G,Korean,India,6.5,,,,,False,8/2/2023,False
movie_0068,Eternal Legend,Movie,Horror,Drama,2003,13,TV-PG,English,USA,8.3,,,11.0,,True,5/26/2023,False
movie_0069,Golden Legend,TV Series,Music,Crime,1988,68,TV-14,English,USA,8.8,210263.0,,1.0,,True,12/17/2024,False
movie_0070,Big Adventure,Movie,Romance,Sci-Fi,1996,263,TV-14,German,USA,5.5,21386494.0,,,16.0,False,2/9/2022,False
movie_0071,Secret Mission,Stand-up Comedy,Horror,,2009,126,TV-Y7,English,USA,7.0,2965062.0,22032113.0,,,False,2/3/2022,False
movie_0072,House Night,Documentary,War,,2021,31,R,French,Japan,6.4,,,,,True,1/5/2023,False
movie_0073,Secret Tale,TV Series,Biography,,2024,86,TV-Y,French,Japan,4.2,,158732453.0,12.0,146.0,False,8/21/2021,False
movie_0074,Dragon Empire,Documentary,Romance,Sci-Fi,1999,65,TV-Y,Spanish,USA,5.9,,,,,True,4/16/2023,True
movie_0075,Hidden Warrior,Movie,Action,History,2022,63,TV-PG,English,USA,7.3,,,,,False,3/1/2023,False
movie_0076,Hidden Legend,Limited Series,Adventure,,2009,48,TV-Y7,French,USA,5.4,,4761460.0,,,False,7/12/2023,False
movie_0077,Royal Legend,Movie,Animation,Thriller,2004,80,TV-Y,English,India,,,,,87.0,False,4/23/2023,False
movie_0078,Family Dream,TV Series,Drama,,2011,157,TV-14,English,Spain,6.0,,,,,True,6/27/2025,True
movie_0079,Fire Kingdom,Stand-up Comedy,Comedy,,2007,51,TV-14,English,USA,10.0,,,,,True,5/16/2022,False
movie_0080,Adventure Voyage,Documentary,Family,,2007,116,TV-Y7,English,France,3.0,9070805.0,,,25.0,False,1/21/2023,False
movie_0081,Secret Dream,Limited Series,Drama,,2001,131,PG-13,Hindi,Japan,7.2,,,,,False,9/9/2024,True
movie_0082,Family Night,Movie,Mystery,Biography,1990,178,R,Hindi,UK,,,,,11.0,True,6/4/2022,True
movie_0083,Family Voyage,Limited Series,Fantasy,Fantasy,1988,35,PG,English,France,5.1,,,,,False,4/13/2024,False
movie_0084,Big Princess,TV Series,Romance,,2013,76,TV-MA,Spanish,Germany,5.8,,,,,True,10/23/2025,False
movie_0085,Big Legend,TV Series,History,,2003,43,NC-17,Japanese,USA,7.5,,,12.0,20.0,False,11/17/2022,False
movie_0086,Fire Warrior,Movie,Comedy,Sci-Fi,1999,81,TV-PG,French,USA,7.6,,,,,False,3/18/2022,False
movie_0087,Bright Shadow,Movie,Fantasy,Western,2006,80,TV-14,Spanish,India,,,,11.0,,True,12/13/2021,False
movie_0088,Dark War,TV Series,War,Fantasy,2015,28,TV-Y,Japanese,USA,8.2,,,,,False,1/21/2021,False
movie_0089,Dark Princess,Movie,Documentary,,2008,84,PG,English,USA,8.6,4271221.0,,1.0,114.0,False,6/3/2022,False
movie_0090,Wild Ice,Documentary,Documentary,,1999,287,TV-Y7,English,UK,7.7,1208442.0,,,,False,3/31/2025,False
movie_0091,Royal Princess,Limited Series,Adventure,,2020,107,PG,English,South Korea,5.3,,,,148.0,False,4/10/2022,False
movie_0092,Journey Shadow,Stand-up Comedy,Drama,,2024,22,PG-13,Hindi,UK,7.2,,,4.0,,False,10/8/2025,False
movie_0093,Journey Adventure,Movie,Romance,Fantasy,2012,33,TV-G,Japanese,South Korea,7.2,4304633.0,,,,False,10/6/2025,False
movie_0094,Our Night,Stand-up Comedy,Action,Crime,2017,73,G,English,UK,4.8,,,,73.0,True,5/29/2024,False
movie_0095,City Legend,Movie,Animation,Music,2020,34,TV-PG,English,USA,3.4,,,5.0,140.0,False,11/26/2025,False
movie_0096,Dark Heart,TV Series,Action,,2019,171,TV-14,Hindi,France,,,,7.0,131.0,True,1/14/2023,False
movie_0097,Golden House,Limited Series,Family,War,2013,20,TV-MA,English,South Korea,6.4,6058066.0,,,6.0,True,10/12/2025,False
movie_0098,Secret Warrior,Movie,War,,2013,107,TV-G,French,Germany,6.8,,,,,False,9/20/2023,False
movie_0099,Big Family,Movie,Horror,,2012,16,PG-13,French,USA,4.1,1200765.0,,,,True,5/28/2021,False
movie_0100,Big World,Movie,Family,,1993,72,TV-14,English,USA,8.2,3099451.0,,,82.0,False,2/27/2025,False
movie_0101,Night Saga,TV Series,Fantasy,,2014,29,TV-MA,English,South Korea,6.5,6015458.0,,,,False,10/1/2025,True
movie_0102,Journey Shadow,Limited Series,Mystery,Horror,1991,121,PG-13,English,USA,8.7,19359848.0,,,,True,6/4/2025,True
movie_0103,Journey Empire,Movie,Action,,1997,153,TV-G,English,USA,6.9,3042148.0,6900915.0,,129.0,False,1/31/2023,True
movie_0104,Bright World,Movie,Romance,Action,2021,96,TV-14,French,South Korea,,,320768577.0,,,False,7/7/2021,False
movie_0105,City Voyage,TV Series,Sport,Crime,2016,157,NC-17,German,Japan,7.1,,,,58.0,False,12/5/2023,True
movie_0106,City Shadow,Movie,Fantasy,,2023,4,TV-14,English,USA,7.5,3280060.0,,,,False,5/4/2025,True
movie_0107,Eternal Adventure,Documentary,Horror,Animation,2003,83,TV-Y7,Japanese,USA,,,188445385.0,,,False,3/15/2025,False
movie_0108,Bright Empire,Stand-up Comedy,Crime,,1993,106,TV-PG,English,USA,3.7,,,,,False,2/1/2024,False
movie_0109,Storm Family,Documentary,Horror,,2003,116,NC-17,English,South Korea,6.5,,,,,False,12/6/2024,False
movie_0110,Family Saga,Limited Series,Sci-Fi,Western,2007,102,PG-13,German,Japan,4.5,,,,176.0,True,2/28/2021,False
movie_0111,Fire War,TV Series,Mystery,,2007,118,PG-13,German,USA,8.3,42293216.0,,,,False,2/12/2024,True
movie_0112,Dark Mission,Limited Series,Thriller,Documentary,2019,83,TV-G,German,USA,5.5,,,,82.0,True,7/17/2021,False
movie_0113,Dark Legend,Movie,Mystery,Romance,2002,23,R,English,USA,9.4,,,,68.0,True,9/29/2024,False
movie_0114,Eternal Kingdom,Movie,Adventure,Sci-Fi,2010,48,TV-14,Japanese,USA,2.4,,,4.0,199.0,True,3/25/2021,False
movie_0115,Lost Princess,Documentary,Horror,Sport,1995,172,PG-13,English,USA,6.5,,,,,False,12/22/2023,False
movie_0116,Journey Tale,Movie,Fantasy,,2011,159,R,Mandarin,Japan,8.9,,119616770.0,,,False,9/28/2025,False
movie_0117,Dragon Crown,Limited Series,Romance,,2006,105,TV-G,Korean,USA,4.7,,,,,False,7/24/2021,True
movie_0118,Journey Shadow,Documentary,Biography,,1997,123,NC-17,Hindi,USA,6.0,,,,,False,2/18/2023,True
movie_0119,Silent Adventure,Stand-up Comedy,Crime,,2003,147,G,English,Japan,5.5,,2903511.0,2.0,,False,3/16/2021,True
movie_0120,House Heart,Movie,Biography,,2004,104,PG-13,English,USA,5.0,3391130.0,,,,False,7/29/2024,False
movie_0121,Our Kingdom,TV Series,Horror,Adventure,2003,169,PG-13,German,USA,6.7,469183.0,3892609.0,,,False,8/16/2025,False
movie_0122,Fire Dream,Documentary,Western,Western,2024,165,TV-Y7,English,USA,,3340620.0,,2.0,,False,1/4/2021,False
movie_0123,Golden Warrior,Movie,Sci-Fi,Thriller,2005,346,PG-13,Korean,USA,6.1,1765584.0,,6.0,,True,9/24/2023,True
movie_0124,Bright Adventure,TV Series,Horror,,2003,49,TV-G,Japanese,USA,7.2,,,,,False,12/18/2024,False
movie_0125,Eternal Legend,Documentary,Documentary,,1982,50,TV-G,Mandarin,UK,,,,,115.0,False,2/16/2021,False
movie_0126,Our War,Stand-up Comedy,Romance,,1996,99,TV-Y7,English,USA,,22248908.0,,,,False,5/30/2023,True
movie_0127,Warrior House,Documentary,Biography,Comedy,2003,253,TV-Y7,Hindi,South Korea,8.1,946525.0,,,,True,8/24/2021,True
movie_0128,Silent Princess,Movie,Drama,,1998,178,NC-17,English,UK,7.6,6960336.0,5168222.0,,,False,8/13/2025,False
movie_0129,Silent Family,TV Series,War,,2022,134,TV-PG,English,USA,4.4,,,4.0,101.0,False,7/19/2023,True
movie_0130,Our Kingdom,TV Series,Documentary,Animation,2004,186,TV-14,Japanese,USA,3.9,,,,75.0,True,8/9/2023,False
movie_0131,Eternal Princess,Movie,Crime,,2021,108,TV-MA,English,USA,4.5,,12253226.0,10.0,,False,12/25/2025,False
movie_0132,House Story,TV Series,Sport,,2007,59,PG,Mandarin,USA,7.3,,13711328.0,3.0,,False,12/10/2024,False
movie_0133,Secret Kingdom,Movie,Western,Mystery,2006,294,G,Hindi,Japan,6.8,,,5.0,,False,7/27/2022,False
movie_0134,Family House,Movie,Horror,,2005,102,TV-MA,Mandarin,USA,7.7,,11261001.0,,,False,2/23/2024,False
movie_0135,Golden Heart,TV Series,Adventure,Documentary,2006,163,R,Mandarin,South Korea,,,,,,False,6/26/2022,False
movie_0136,House Legend,Movie,Comedy,Drama,2024,4,TV-MA,Korean,Japan,4.6,,114161897.0,,,False,8/8/2023,False
movie_0137,Our World,TV Series,Biography,,1980,6,PG-13,English,UK,7.9,,,,121.0,False,1/22/2025,False
movie_0138,Family War,Movie,Crime,Music,1983,85,NC-17,Spanish,UK,5.3,,,,6.0,True,9/27/2025,False
movie_0139,Journey Voyage,Documentary,Fantasy,Biography,2000,34,PG,English,Japan,6.6,,,,,False,10/3/2025,False
movie_0140,Storm Warrior,Movie,Crime,,2006,91,TV-Y,Spanish,Spain,3.5,9685601.0,,6.0,,False,6/24/2023,False
movie_0141,House War,Limited Series,Action,Romance,2014,50,TV-G,English,India,5.2,3698782.0,244143649.0,,,True,6/22/2025,False
movie_0142,Silent War,Movie,Biography,,2011,378,G,Korean,USA,8.1,20231085.0,,,,True,6/17/2025,False
movie_0143,Family Story,TV Series,Fantasy,,2002,154,TV-MA,English,USA,5.0,,,6.0,73.0,True,9/25/2023,False
movie_0144,Our Kingdom,Movie,Sci-Fi,War,2018,198,TV-PG,English,USA,7.7,,,,,False,3/7/2021,False
movie_0145,Adventure War,Movie,History,,2018,8,TV-PG,English,USA,2.1,2801609.0,,7.0,78.0,False,8/6/2021,False
movie_0146,Eternal Empire,TV Series,Family,,2008,133,TV-Y,English,Japan,5.3,,20155919.0,11.0,,False,4/14/2024,False
movie_0147,Royal House,Limited Series,Mystery,,2017,65,TV-G,English,USA,6.0,,,,143.0,True,2/24/2025,False
movie_0148,Adventure Ice,Limited Series,Fantasy,Biography,2009,200,PG-13,English,Japan,9.4,,,,,False,7/22/2025,False
movie_0149,Hidden Adventure,Movie,Animation,Fantasy,2000,120,TV-Y,English,UK,4.2,736296.0,4482778.0,,,True,3/20/2022,False
movie_0150,House Legend,Movie,Biography,Drama,2014,73,R,Japanese,USA,7.5,22197278.0,,2.0,,False,6/30/2025,False
movie_0151,Night Tale,Documentary,War,,2007,25,TV-PG,English,Japan,8.2,,14645890.0,,6.0,True,2/17/2025,False
movie_0152,Dragon Saga,TV Series,Biography,,2006,84,PG-13,Spanish,USA,5.0,,,,75.0,False,6/5/2023,False
movie_0153,Adventure Princess,Movie,Fantasy,,2023,169,TV-G,English,South Korea,5.6,,,,,False,11/14/2022,True
movie_0154,House Kingdom,Documentary,Family,Biography,1978,208,R,Japanese,France,6.5,,,,115.0,False,5/12/2023,False
movie_0155,House Family,TV Series,Horror,,1990,56,G,English,USA,3.6,,8636831.0,,136.0,True,5/17/2024,False
movie_0156,Silent Dream,Documentary,Family,,1992,339,R,Japanese,France,5.4,7275984.0,3880329.0,,,True,1/19/2025,True
movie_0157,Fire Legend,Movie,War,Mystery,2002,161,TV-Y,Japanese,USA,8.6,,,,172.0,False,11/10/2021,False
movie_0158,City Dream,TV Series,Sport,,2003,35,PG-13,Korean,UK,7.2,,74126774.0,6.0,69.0,False,9/4/2022,False
movie_0159,Bright Shadow,Movie,Romance,,1989,28,TV-G,English,Japan,6.0,33212222.0,,5.0,,False,8/8/2021,True
movie_0160,Royal Crown,Documentary,Mystery,Adventure,1995,69,TV-PG,Japanese,USA,6.5,,,,,False,9/7/2025,False
movie_0161,Big Family,Movie,Biography,,1996,56,TV-Y,English,UK,7.3,2588974.0,,,,False,1/13/2023,False
movie_0162,Golden Story,Documentary,Adventure,,2024,108,NC-17,English,Germany,7.7,,,,,False,4/3/2022,False
movie_0163,Secret Empire,Documentary,Horror,,2024,78,PG,English,South Korea,5.3,3193771.0,8404245.0,,,False,1/7/2022,True
movie_0164,City Legend,Documentary,Western,,2001,60,NC-17,Korean,Japan,,,12137846.0,,,False,5/16/2021,False
movie_0165,Our Kingdom,Movie,Mystery,,2002,17,G,English,UK,8.7,,,,,False,5/11/2023,False
movie_0166,Lost Night,Movie,War,,1993,122,TV-Y7,German,USA,7.5,3069646.0,,,63.0,False,11/9/2024,False
movie_0167,House Tale,TV Series,Drama,,1984,15,TV-PG,English,South Korea,4.7,1363528.0,,14.0,,False,8/13/2022,True
movie_0168,Journey Voyage,TV Series,Comedy,,2005,161,TV-14,English,South Korea,4.4,8434535.0,,,,True,1/9/2023,True
movie_0169,Secret Legend,Limited Series,Western,,1995,9,TV-Y7,English,USA,5.7,3208242.0,,4.0,,True,3/7/2024,False
movie_0170,Warrior Story,Movie,Action,,2005,14,NC-17,English,USA,6.4,,,,,True,10/12/2022,False
movie_0171,Golden Legend,Limited Series,Fantasy,Sport,1988,34,NC-17,Japanese,USA,3.1,,,,,False,9/10/2024,True
movie_0172,Golden Ice,Movie,Family,Sport,1997,52,G,Spanish,USA,7.2,5695047.0,,,,False,8/9/2022,False
movie_0173,Wild Empire,Movie,History,Action,2008,43,G,German,USA,8.6,,,,,True,3/26/2023,False
movie_0174,Secret Story,Movie,Documentary,,2010,52,PG,English,USA,7.3,,,,,True,11/25/2025,False
movie_0175,Our Princess,Documentary,Mystery,,2011,93,PG,English,France,5.0,4527378.0,,6.0,,False,3/7/2025,False
movie_0176,Adventure Legend,Movie,Music,,1991,35,TV-Y,Spanish,USA,4.8,3795490.0,,10.0,,True,11/10/2023,False
movie_0177,House Adventure,Movie,Sci-Fi,,2016,93,TV-MA,English,USA,6.8,,2759197.0,,,True,12/17/2022,False
movie_0178,Secret World,Documentary,Mystery,,1997,4,PG-13,English,France,6.0,,,,,True,12/16/2025,False
movie_0179,Our Saga,TV Series,Adventure,,2013,34,PG-13,Spanish,USA,7.1,,,,118.0,False,4/25/2023,False
movie_0180,Fire Crown,Movie,Fantasy,History,2006,13,G,English,USA,,,,,26.0,False,9/20/2022,True
movie_0181,Hidden Saga,Movie,Drama,,1990,160,R,English,South Korea,8.2,,11468985.0,,,True,12/24/2023,False
movie_0182,Warrior Saga,TV Series,Western,Crime,2002,40,G,English,India,4.2,,,,69.0,True,1/26/2023,False
movie_0183,Fire Ice,Movie,Drama,Comedy,2010,117,TV-14,Korean,Japan,6.7,,,12.0,109.0,True,6/12/2025,False
movie_0184,Journey Legend,Movie,Romance,,2013,11,TV-14,English,USA,5.6,,,,120.0,False,1/22/2022,False
movie_0185,Dragon Crown,TV Series,Sport,,2004,206,PG,Korean,USA,6.1,3105686.0,,,,False,4/2/2021,False
movie_0186,Big Dream,Movie,Action,,2023,81,R,English,India,7.8,,,1.0,,False,2/25/2023,False
movie_0187,Family Night,TV Series,History,,2017,74,TV-G,English,UK,8.0,,,,,False,9/27/2025,False
movie_0188,Wild Family,Movie,Music,,2003,17,TV-PG,English,UK,8.8,,,,,False,4/24/2021,False
movie_0189,Bright Crown,Movie,Western,War,2015,30,PG,German,UK,,,,,,True,1/14/2025,False
movie_0190,Night Empire,Movie,Drama,,2024,62,PG-13,English,USA,6.1,,,9.0,,False,1/2/2021,True
movie_0191,Dragon Story,Movie,Sport,,2024,31,TV-14,French,USA,5.8,,,6.0,,False,10/15/2023,True
movie_0192,Royal Empire,Movie,Sport,Documentary,1992,149,PG,English,South Korea,3.1,,16556230.0,,,True,4/7/2023,False
movie_0193,Dragon Family,Movie,Comedy,Sport,1995,79,TV-Y,English,Germany,8.7,,,,,False,10/19/2021,True
movie_0194,Storm Tale,Limited Series,Biography,Family,2023,32,TV-PG,English,USA,,,,,,True,9/23/2024,False
movie_0195,Wild Princess,Limited Series,Animation,,1994,133,NC-17,Japanese,France,7.2,,,13.0,72.0,False,11/16/2021,False
movie_0196,Bright Princess,Movie,Biography,,1991,55,G,English,USA,,1780278.0,,,65.0,True,3/9/2023,False
movie_0197,Night Heart,TV Series,Horror,Horror,2000,129,R,German,Spain,4.0,53864063.0,21746426.0,,,False,10/16/2023,False
movie_0198,Dark Saga,TV Series,Horror,,2011,48,TV-G,Hindi,USA,4.6,,,13.0,,True,8/4/2023,False
movie_0199,Dragon Mission,Limited Series,Crime,,2005,111,TV-PG,German,UK,9.1,,54041226.0,7.0,,False,2/27/2021,False
movie_0200,House Legend,Movie,Crime,,1999,54,NC-17,Japanese,USA,6.8,,,2.0,34.0,False,3/25/2023,True
movie_0201,Secret Voyage,Movie,Thriller,Drama,1998,149,NC-17,Japanese,France,,,,5.0,,False,4/9/2024,True
movie_0202,Big World,Movie,Sci-Fi,Western,1998,11,R,Korean,France,6.0,,,12.0,,False,8/20/2023,False
movie_0203,Journey Ice,Movie,Sport,,1996,23,TV-PG,English,USA,8.2,,,8.0,,True,8/25/2024,False
movie_0204,Family Princess,Movie,Western,Mystery,2024,66,PG-13,German,South Korea,8.0,1273317.0,,8.0,,False,11/16/2024,False
movie_0205,Royal Legend,Limited Series,Sci-Fi,,2009,41,TV-MA,Spanish,Germany,3.6,,14019161.0,,,True,11/24/2021,False
movie_0206,Our Empire,Limited Series,Sci-Fi,,2016,52,R,English,Germany,9.2,,,,,False,1/6/2025,False
movie_0207,House Family,Movie,Western,,2000,120,R,Hindi,USA,8.0,,,,,True,6/22/2025,True
movie_0208,Dragon Dream,TV Series,Biography,,2004,51,TV-14,Spanish,UK,6.0,,,,,False,3/10/2025,False
movie_0209,Secret Family,Movie,Family,,1998,96,TV-PG,English,Japan,4.1,,469487980.0,13.0,,False,4/3/2025,False
movie_0210,House Ice,TV Series,Fantasy,Romance,1976,34,NC-17,Hindi,France,8.2,,163733310.0,,,False,1/23/2022,False
movie_0211,Royal Shadow,TV Series,Music,,1990,8,TV-14,English,Japan,7.1,,,,83.0,False,4/4/2024,False
movie_0212,Bright Kingdom,Movie,Thriller,,1985,129,TV-14,English,France,3.6,,,,,True,4/16/2023,False
movie_0213,Family Mission,Limited Series,Horror,,1980,238,PG,English,USA,5.8,,,2.0,,False,12/1/2025,False
movie_0214,Wild Voyage,Stand-up Comedy,Sci-Fi,,1992,88,NC-17,Japanese,USA,,10068116.0,,2.0,138.0,True,2/25/2025,False
movie_0215,Dragon Shadow,Documentary,Comedy,Horror,2021,69,TV-Y7,English,USA,6.3,1759813.0,11775273.0,,,True,10/22/2021,True
movie_0216,Storm Crown,Documentary,Fantasy,Adventure,2005,81,NC-17,Hindi,USA,4.9,4091381.0,,2.0,71.0,False,9/15/2025,True
movie_0217,Hidden Family,TV Series,Biography,Drama,2021,187,TV-14,English,USA,4.4,,,11.0,142.0,False,6/26/2024,True
